TableName,Column,Description,CTA
SG_CSV0000000000001714.csv,ban_q18_q194,"The ""ban_q18_q194"" column contains binary responses, likely indicating a specific characteristic or condition of the respondents that is either affirmed with ""Yes"" or negated with ""No"".",Boolean
SG_CSV0000000000001714.csv,ban_education1,"The ""ban_education1"" column indicates whether or not a respondent has a certain level of education, likely corresponding to a specific category or type of educational attainment.",Boolean
SG_CSV0000000000001714.csv,ban_education2,"The column ""ban_education2"" contains information indicating a respondent's second level of banned or restricted educational qualification or status in a categorical format, likely contributing to a survey or study about demographic or social characteristics.",category
SG_CSV0000000000001714.csv,ban_education3,"The 'ban_education3' column indicates whether the respondent has been subjected to a specific educational ban or restriction policy, with possible values suggesting a binary response like 'Yes' or 'No'.",Boolean
SG_CSV0000000000001714.csv,ban_education4,"The target column ""ban_education4"" contains binary data that indicates whether individuals have a particular fourth level of education banned or restricted for discussion or acknowledgment within the context of the collected survey data.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_status1,"The target column ""ban_occupation_status1"" likely indicates whether a respondent is categorized under a specific occupational status, with possible values suggesting a binary response, such as 'Yes' for being in that occupational category and 'No' for not being in it.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_status2,"The column ""ban_occupation_status2"" indicates whether the respondent falls into a certain occupational status category, with a ""Yes"" or ""No"" response signifying their inclusion or exclusion from this specific status.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_status3,"The ""ban_occupation_status3"" column indicates whether a respondent is associated with a specific condition or requirement related to their occupational status, represented with binary options such as 'Yes' or 'No'.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_status4,"The target column 'ban_occupation_status4' contains values indicating a specific occupational status or categorization as part of a broader occupational classification, represented as binary responses such as 'Yes' or 'No', likely reflecting whether a respondent falls under a certain occupational category or meets a certain criterion related to their employment status.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_status5,"The target column ""ban_occupation_status5"" contains binary indicators, likely representing whether a specific occupation status, identified by number 5 in a predefined list of occupation statuses, is banned or not for the respondent, with values typically being 'Yes' or 'No'.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_status6,"The column ""ban_occupation_status6"" indicates whether the respondent's current occupation status corresponds to a specific, predefined category, with entries typically being ""Yes"" or ""No"".",Boolean
SG_CSV0000000000001714.csv,ban_occupation_status7,"The ""ban_occupation_status7"" column contains binary indicators, with values such as 'Yes' or 'No', representing whether a specific occupation status condition 7 applies to the respondent.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_status8,"The column 'ban_occupation_status8' indicates whether the respondent holds a specific occupational status, with possible values such as 'Yes' or 'No' reflecting the presence or absence of this particular occupational status.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_status9,"The target column ""ban_occupation_status9"" contains categorical data indicating whether the respondent's occupational status falls under a specific classification, denoted possibly by a 'Yes' or 'No'.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_role1,"The ""ban_occupation_role1"" column likely represents a binary indicator, such as ""Yes"" or ""No,"" signaling whether a respondent fulfills a specific occupational role, although the exact nature of this role is not defined within the values given.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_role2,"The ""ban_occupation_role2"" column indicates whether the respondent has a specific secondary occupational role, represented by binary values such as 'Yes' or 'No'.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_role3,"The target column 'ban_occupation_role3' represents a binary indicator, presumably a 'Yes' or 'No' response, identifying whether the respondent is associated with or holds a specific third occupational role within a predefined list of roles.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_role4,"The target column ""ban_occupation_role4"" contains binary values indicating whether respondents with a specific occupation role were flagged or prohibited for certain aspects under consideration or analysis in the survey data.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_role5,"The 'ban_occupation_role5' column contains categorical values indicating whether a respondent is associated with a particular occupation role designation labeled as '5', with responses typically being 'Yes' or 'No' to denote the presence or absence of the role for each individual.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_role6,The column 'ban_occupation_role6' contains information indicating a binary response (such as 'Yes' or 'No') about the banning status or restriction of a particular occupation role for individuals in the dataset.,Boolean
SG_CSV0000000000001714.csv,ban_occupation_role7,"The 'ban_occupation_role7' column indicates a binary response, 'Yes' or 'No', to a question about whether an individual holds or has experience in a specific, predefined occupational role categorized as 'role 7'.",Boolean
SG_CSV0000000000001714.csv,ban_occupation_role8,"The 'ban_occupation_role8' column indicates whether a respondent is banned from a specific occupation role, with the values reflecting a binary response, such as 'Yes' or 'No', to denote such a restriction.",Boolean
